お多福	湘南投資勉強会	3791	ＩＧポート	2154	4680	117.3%					kenmo	湘南投資勉強会	7059	コプロ・ホールディングス	504	1525	202.6%				ふくろう	湘南投資勉強会	6632	ＪＶＣケンウッド	348	741	112.9%
tony	神戸投資勉強会	3791	ＩＧポート	2154	4680	117.3%					josui	湘南投資勉強会	HK9988	アリババ	109.5	75.6	-31.0%				ぱふぇっと	神戸投資勉強会	3041	ビューティ花壇	277	1022	269.0%
たお	湘南投資勉強会	3793	ドリコム	845	851	0.7%					ののこ	神戸投資勉強会	3664	モブキャストＨＬＤＧＳ	92	55	-40.2%										
秋吉義明	湘南投資勉強会	3793	ドリコム	845	851	0.7%					ののこ	神戸投資勉強会	5125	ファインズ	1335	574	-57.0%										
rei	神戸投資勉強会	3798	ＵＬＳグループ	3670	4325	17.8%					グコウさん	神戸投資勉強会	6226	守谷輸送機工業	748	1246	66.6%										
ぱふぇっと	神戸投資勉強会	3842	ネクストジェン	666	718	7.8%					タイ	湘南投資勉強会	5244	ＪＩＧ．ＪＰ	454	319	-29.7%										
ヨシ	湘南投資勉強会	3861	王子ホールディングス	518	543	4.8%					ちぃ	湘南投資勉強会	7047	ポート	1078	2357	118.6%										
めそ	湘南投資勉強会	3864	三菱製紙	280	553	97.5%					KM Kevin	神戸投資勉強会	AMZN	アマゾン	89.87	151.94	69.1%										
あそびにん (KN)	湘南投資勉強会	3864	三菱製紙	280	553	97.5%					KM Kevin	神戸投資勉強会	CCL	カーニバルクルーズ	9.68	18.54	91.5%										
あさか	湘南投資勉強会	3864	三菱製紙	280	553	97.5%					KM Kevin	神戸投資勉強会	TSLA	テスラ	118.85	248.48	109.1%										
てざわり	湘南投資勉強会	3864	三菱製紙	280	553	97.5%					KM Kevin	神戸投資勉強会	札2928	ライザップ	140	266	90.0%										
SHINJI	神戸投資勉強会	3880	大王製紙	987	1123	13.8%					ココア	湘南投資勉強会	3041	ビューティ花壇	277	1022	269.0%										
むね坊主	神戸投資勉強会	3880	大王製紙	987	1123	13.8%					ココア	湘南投資勉強会	8596	九州リースサービス	741	1015	37.0%										
KM Kevin	神戸投資勉強会	3880	大王製紙	987	1123	13.8%					ケンヂ	湘南投資勉強会	9556	ＩＮＴＬＯＯＰ	6290	3245	-48.4%										
くま	湘南投資勉強会	3900	クラウドワークス	1510	1266	-16.2%					ゆっき	湘南投資勉強会	8929	青山財産ネットワークス	1086	1037	-4.5%										
モモクリン（momokurin）	湘南投資勉強会	3903	ｇｕｍｉ	919	443	-51.8%					雪	神戸投資勉強会	4174	アピリッツ	1139	1040	-8.7%										
よしぼん	神戸投資勉強会	3903	ｇｕｍｉ	919	443	-51.8%					雪	神戸投資勉強会	4177	ｉ‐ｐｌｕｇ	1320	1158	-12.3%										
秋吉義明	湘南投資勉強会	3903	ｇｕｍｉ	919	443	-51.8%					雪	神戸投資勉強会	5726	大阪チタニウム	3850	2712	-29.6%										
ふう	神戸投資勉強会	3903	ｇｕｍｉ	919	443	-51.8%					雪	神戸投資勉強会	7298	八千代工業	1280	1388	8.4%										
altama7772	神戸投資勉強会	3903	ｇｕｍｉ	919	443	-51.8%					雪	神戸投資勉強会	9318	アジア開発キャピタル	3		#VALUE!										
くま	湘南投資勉強会	3914	ＪＩＧ－ＳＡＷ	4575	4630	1.2%					ねこじろー	湘南投資勉強会	7781	平山ホールディングス	683	940	37.6%										
きよし(湘南)	湘南投資勉強会	3931	バリューゴルフ	1346	926	-31.2%					葵堂	神戸投資勉強会	7279	ハイレックスコーポレーション	1075	1359	26.4%										
らう	湘南投資勉強会	3933	チエル	820	539	-34.3%					栗エイタ	湘南投資勉強会	9994	やまや	2494	3045	22.1%										
AK	湘南投資勉強会	3937	ＵＢＩＣＯＭホールディングス	2127	1669	-21.5%					らう	湘南投資勉強会	3933	チエル	820	539	-34.3%										
アリ	湘南投資勉強会	3950	ザ・パック	2397	3385	41.2%					アリ	湘南投資勉強会	7356	ＲＥＴＴＹ	194	171	-11.9%										
新田明くん	神戸投資勉強会	3963	シンクロ・フード	459	648	41.2%					アリ	湘南投資勉強会	6694	ズーム	1069	942	-11.9%										
ぷに丸	湘南投資勉強会	3979	うるる	1479	1600	8.2%					するが	湘南投資勉強会	3665	エニグモ	651	367	-43.6%										
roku	湘南投資勉強会	3979	うるる	1479	1600	8.2%					するが	湘南投資勉強会	6625	ＪＡＬＣＯホールディングス	242	232	-4.1%										
rei	神戸投資勉強会	3979	うるる	1479	1600	8.2%					するが	湘南投資勉強会	7806	ＭＴＧ	1450	1463	0.9%										
リョウ	湘南投資勉強会	3983	オロ	1918	2584	34.7%					えびす	湘南投資勉強会	2694	焼肉坂井ホールディンク	71	74	4.2%										
