Date,Open,High,Low,Close,Volume
2022-05-25,1876.11,1883.96,1867.45,1876.58,1205465100
2022-05-24,1896.07,1896.82,1878.26,1878.26,1166842200
2022-05-23,1892.73,1897.95,1886.94,1894.57,1156524300
2022-05-20,1861.87,1878.83,1859.88,1877.37,1320503500
2022-05-19,1850.82,1862.79,1840.54,1860.08,1329679500
2022-05-18,1878.94,1890.6,1874.37,1884.69,1330580600
2022-05-17,1865.35,1871.71,1859.86,1866.71,1375227200
2022-05-16,1883.45,1883.66,1859.13,1863.26,1556811000
2022-05-13,1836.77,1868.02,1835.68,1864.2,1692050800
2022-05-12,1837.03,1848.19,1826.51,1829.18,1516002100
2022-05-11,1854.4,1860.03,1845.29,1851.15,1403740000
2022-05-10,1861.43,1867.32,1840.0,1862.38,1407179900
2022-05-09,1899.84,1902.72,1878.31,1878.39,1299869000
2022-05-06,1902.4,1919.61,1890.32,1915.91,1540781800
2022-05-02,1899.92,1910.98,1887.27,1898.35,1234170400
2022-04-28,1865.17,1901.39,1862.42,1899.62,1425932100
2022-04-27,1853.39,1861.45,1842.78,1860.76,1711823300
2022-04-26,1881.49,1885.47,1872.3,1878.51,1077695400
2022-04-25,1875.17,1882.47,1866.9,1876.52,1058798700
2022-04-22,1908.22,1909.92,1892.85,1905.15,1019776400
2022-04-21,1915.89,1929.89,1914.31,1928.0,1079140400
2022-04-20,1911.72,1926.21,1905.9,1915.15,1189600800
2022-04-19,1898.05,1899.39,1883.39,1895.7,1011095100
2022-04-18,1880.76,1885.39,1863.59,1880.08,877130000
2022-04-15,1890.72,1902.74,1881.46,1896.31,930127100
2022-04-14,1894.84,1908.27,1892.51,1908.05,1056509100
2022-04-13,1869.15,1892.58,1867.36,1890.06,1203137600
2022-04-12,1880.22,1883.11,1861.16,1863.63,1212739200
2022-04-11,1892.7,1897.55,1881.82,1889.64,1191841100
2022-04-08,1904.37,1906.76,1883.56,1896.79,1311465100
2022-04-07,1899.79,1900.65,1881.83,1892.9,1228952800
2022-04-06,1934.89,1936.0,1919.25,1922.91,1212043500
2022-04-05,1967.36,1967.68,1942.78,1949.12,1187757200
2022-04-04,1946.55,1953.83,1941.96,1953.63,1046720100
